Transmitted kB/s Received kB/s Date Time Seconds
0 kB/s 0 kB/s 2016-04-15 16:24:52 0
0 kB/s 0 kB/s 2016-04-15 16:25:02 5
0 kB/s 0 kB/s 2016-04-15 16:25:12 10
0 kB/s 0 kB/s 2016-04-15 16:25:22 15
0 kB/s 0 kB/s 2016-04-15 16:25:33 20
1 kB/s 1 kB/s 2016-04-15 16:25:43 25
0 kB/s 0 kB/s 2016-04-15 16:25:53 30
397 kB/s 95 kB/s 2016-04-15 16:26:03 35
33 kB/s 11 kB/s 2016-04-15 16:26:13 40
9 kB/s 5 kB/s 2016-04-15 16:26:24 45
15 kB/s 7 kB/s 2016-04-15 16:26:34 50
12 kB/s 6 kB/s 2016-04-15 16:26:44 55
4 kB/s 2 kB/s 2016-04-15 16:26:54 60
9 kB/s 5 kB/s 2016-04-15 16:27:04 65
106 kB/s 36 kB/s 2016-04-15 16:27:14 70
381 kB/s 101 kB/s 2016-04-15 16:27:25 75
178 kB/s 64 kB/s 2016-04-15 16:27:35 80
391 kB/s 100 kB/s 2016-04-15 16:27:45 85
375 kB/s 100 kB/s 2016-04-15 16:27:55 90
378 kB/s 102 kB/s 2016-04-15 16:28:05 95
1 kB/s 0 kB/s 2016-04-15 16:28:15 100
41 kB/s 14 kB/s 2016-04-15 16:28:26 105
2 kB/s 1 kB/s 2016-04-15 16:28:36 110
0 kB/s 0 kB/s 2016-04-15 16:28:46 115
0 kB/s 0 kB/s 2016-04-15 16:28:56 120
30 kB/s 8 kB/s 2016-04-15 16:29:06 125
224 kB/s 58 kB/s 2016-04-15 16:29:16 130
99 kB/s 32 kB/s 2016-04-15 16:29:26 135
393 kB/s 82 kB/s 2016-04-15 16:29:37 140
396 kB/s 100 kB/s 2016-04-15 16:29:47 145
164 kB/s 45 kB/s 2016-04-15 16:29:57 150
401 kB/s 100 kB/s 2016-04-15 16:30:07 155
194 kB/s 55 kB/s 2016-04-15 16:30:17 160
622 kB/s 151 kB/s 2016-04-15 16:30:28 165
278 kB/s 68 kB/s 2016-04-15 16:30:38 170
662 kB/s 144 kB/s 2016-04-15 16:30:48 175
124 kB/s 34 kB/s 2016-04-15 16:30:58 180
0 kB/s 0 kB/s 2016-04-15 16:31:08 185
1 kB/s 1 kB/s 2016-04-15 16:31:18 190
0 kB/s 0 kB/s 2016-04-15 16:31:28 195
0 kB/s 0 kB/s 2016-04-15 16:31:38 200
0 kB/s 0 kB/s 2016-04-15 16:31:48 205
0 kB/s 0 kB/s 2016-04-15 16:31:59 210
1 kB/s 1 kB/s 2016-04-15 16:32:09 215
0 kB/s 1 kB/s 2016-04-15 16:32:19 220
0 kB/s 0 kB/s 2016-04-15 16:32:29 225
0 kB/s 0 kB/s 2016-04-15 16:32:39 230
0 kB/s 0 kB/s 2016-04-15 16:32:49 235
0 kB/s 0 kB/s 2016-04-15 16:32:59 240
0 kB/s 0 kB/s 2016-04-15 16:33:09 245
0 kB/s 0 kB/s 2016-04-15 16:33:19 250
0 kB/s 0 kB/s 2016-04-15 16:33:30 255
0 kB/s 0 kB/s 2016-04-15 16:33:40 260
0 kB/s 0 kB/s 2016-04-15 16:33:50 265
0 kB/s 0 kB/s 2016-04-15 16:34:00 270
1 kB/s 3 kB/s 2016-04-15 16:34:10 275
1 kB/s 0 kB/s 2016-04-15 16:34:20 280
0 kB/s 0 kB/s 2016-04-15 16:34:30 285
3 kB/s 3 kB/s 2016-04-15 16:34:40 290
