%usr %sys %iowait %idle date time elapsed_time
30.74 69.26 0.00 0.00 2016-04-15 16:24:52 0
30.14 69.86 0.00 0.00 2016-04-15 16:24:57 5
29.06 70.94 0.00 0.00 2016-04-15 16:25:02 10
27.40 72.60 0.00 0.00 2016-04-15 16:25:07 15
30.00 70.00 0.00 0.00 2016-04-15 16:25:12 20
30.06 69.94 0.00 0.00 2016-04-15 16:25:17 25
28.71 71.29 0.00 0.00 2016-04-15 16:25:22 30
40.00 59.80 0.00 0.00 2016-04-15 16:25:27 35
50.70 49.30 0.00 0.00 2016-04-15 16:25:33 40
51.90 47.90 0.00 0.00 2016-04-15 16:25:38 45
49.90 49.90 0.00 0.00 2016-04-15 16:25:43 50
50.80 48.40 0.00 0.00 2016-04-15 16:25:48 55
50.90 48.90 0.00 0.00 2016-04-15 16:25:53 60
42.20 55.80 0.00 0.00 2016-04-15 16:25:58 65
34.20 62.00 0.00 0.00 2016-04-15 16:26:03 70
38.32 57.88 0.00 0.00 2016-04-15 16:26:08 75
50.90 48.70 0.00 0.00 2016-04-15 16:26:13 80
55.60 43.60 0.00 0.00 2016-04-15 16:26:18 85
50.60 48.60 0.00 0.00 2016-04-15 16:26:23 90
54.69 45.11 0.00 0.00 2016-04-15 16:26:29 95
50.40 49.20 0.00 0.00 2016-04-15 16:26:34 100
49.30 50.30 0.00 0.00 2016-04-15 16:26:39 105
48.60 50.40 0.00 0.00 2016-04-15 16:26:44 110
48.50 50.90 0.00 0.00 2016-04-15 16:26:49 115
50.90 49.10 0.00 0.00 2016-04-15 16:26:54 120
48.80 50.40 0.00 0.00 2016-04-15 16:26:59 125
50.20 48.60 0.00 0.00 2016-04-15 16:27:04 130
48.50 51.30 0.00 0.00 2016-04-15 16:27:09 135
47.00 51.20 0.00 0.00 2016-04-15 16:27:14 140
32.60 62.80 0.00 0.00 2016-04-15 16:27:19 145
31.80 63.80 0.00 0.00 2016-04-15 16:27:24 150
38.80 57.40 0.00 0.00 2016-04-15 16:27:30 155
40.00 55.80 0.00 0.00 2016-04-15 16:27:35 160
36.75 59.64 0.00 0.00 2016-04-15 16:27:40 165
34.13 61.68 0.00 0.00 2016-04-15 16:27:45 170
34.53 61.28 0.00 0.00 2016-04-15 16:27:50 175
35.33 60.08 0.00 0.00 2016-04-15 16:27:55 180
33.60 61.60 0.00 0.00 2016-04-15 16:28:00 185
30.94 64.27 0.00 0.00 2016-04-15 16:28:05 190
50.70 48.70 0.00 0.00 2016-04-15 16:28:10 195
48.90 50.90 0.00 0.00 2016-04-15 16:28:15 200
31.94 62.87 0.00 0.00 2016-04-15 16:28:20 205
44.89 53.91 0.00 0.00 2016-04-15 16:28:25 210
49.90 49.30 0.00 0.00 2016-04-15 16:28:30 215
53.89 45.71 0.00 0.00 2016-04-15 16:28:36 220
48.90 50.10 0.00 0.00 2016-04-15 16:28:41 225
51.90 47.90 0.00 0.00 2016-04-15 16:28:46 230
52.71 47.29 0.00 0.00 2016-04-15 16:28:51 235
51.60 48.00 0.00 0.00 2016-04-15 16:28:56 240
53.20 46.00 0.00 0.00 2016-04-15 16:29:01 245
48.90 50.50 0.00 0.00 2016-04-15 16:29:06 250
39.20 58.20 0.00 0.00 2016-04-15 16:29:11 255
39.40 58.00 0.00 0.00 2016-04-15 16:29:16 260
43.20 54.40 0.00 0.00 2016-04-15 16:29:21 265
41.80 56.40 0.00 0.00 2016-04-15 16:29:26 270
37.68 59.52 0.00 0.00 2016-04-15 16:29:31 275
36.80 59.00 0.00 0.00 2016-04-15 16:29:37 280
34.80 61.40 0.00 0.00 2016-04-15 16:29:42 285
33.40 62.60 0.00 0.00 2016-04-15 16:29:47 290
40.72 56.89 0.00 0.00 2016-04-15 16:29:52 295
43.14 54.47 0.00 0.00 2016-04-15 16:29:57 300
32.73 63.25 0.00 0.00 2016-04-15 16:30:02 305
34.33 61.28 0.00 0.00 2016-04-15 16:30:07 310
35.27 61.72 0.00 0.00 2016-04-15 16:30:12 315
39.48 58.32 0.00 0.00 2016-04-15 16:30:17 320
30.80 64.40 0.00 0.00 2016-04-15 16:30:22 325
27.00 67.60 0.00 0.00 2016-04-15 16:30:27 330
27.45 66.13 0.00 0.00 2016-04-15 16:30:32 335
40.52 55.89 0.00 0.00 2016-04-15 16:30:38 340
28.00 66.00 0.00 0.00 2016-04-15 16:30:43 345
24.80 69.00 0.00 0.00 2016-04-15 16:30:48 350
31.14 64.87 0.00 0.00 2016-04-15 16:30:53 355
41.08 56.71 0.00 0.00 2016-04-15 16:30:58 360
29.40 70.40 0.00 0.00 2016-04-15 16:31:03 365
30.60 69.40 0.00 0.00 2016-04-15 16:31:08 370
29.20 70.80 0.00 0.00 2016-04-15 16:31:13 375
30.60 69.40 0.00 0.00 2016-04-15 16:31:18 380
28.66 71.34 0.00 0.00 2016-04-15 16:31:23 385
31.00 69.00 0.00 0.00 2016-04-15 16:31:28 390
28.74 71.26 0.00 0.00 2016-04-15 16:31:33 395
31.00 69.00 0.00 0.00 2016-04-15 16:31:38 400
26.60 73.40 0.00 0.00 2016-04-15 16:31:43 405
