read(MB/s) write(MB/s) Queue_Length Utilization date time elapsed_time
0.02 0.00 0.01 0.64 2016-04-15 16:24:47 0
0.02 0.00 0.01 0.64 2016-04-15 16:24:47 5
0.02 0.00 0.01 0.64 2016-04-15 16:24:47 10
0.02 0.00 0.01 0.64 2016-04-15 16:24:47 15
0.02 0.00 0.01 0.64 2016-04-15 16:24:47 20
0.02 0.00 0.01 0.64 2016-04-15 16:24:47 25
0.02 0.00 0.01 0.64 2016-04-15 16:24:47 30
0.02 0.00 0.01 0.64 2016-04-15 16:24:47 35
0.02 0.00 0.01 0.64 2016-04-15 16:24:47 40
0.02 0.00 0.01 0.64 2016-04-15 16:24:47 45
0.02 0.00 0.01 0.64 2016-04-15 16:24:47 50
0.02 0.00 0.01 0.64 2016-04-15 16:24:47 55
0.02 0.00 0.01 0.64 2016-04-15 16:24:47 60
0.02 0.00 0.01 0.64 2016-04-15 16:24:47 65
0.02 0.00 0.01 0.64 2016-04-15 16:24:47 70
0.02 0.00 0.01 0.64 2016-04-15 16:24:48 75
0.02 0.00 0.01 0.64 2016-04-15 16:24:48 80
0.02 0.00 0.01 0.64 2016-04-15 16:24:48 85
0.02 0.00 0.01 0.64 2016-04-15 16:24:48 90
0.02 0.00 0.01 0.64 2016-04-15 16:24:48 95
0.02 0.00 0.01 0.64 2016-04-15 16:24:48 100
0.02 0.00 0.01 0.64 2016-04-15 16:24:48 105
0.02 0.00 0.01 0.64 2016-04-15 16:24:48 110
0.02 0.00 0.01 0.64 2016-04-15 16:24:48 115
0.02 0.00 0.01 0.64 2016-04-15 16:24:48 120
0.02 0.00 0.01 0.64 2016-04-15 16:24:48 125
0.02 0.00 0.01 0.64 2016-04-15 16:24:48 130
0.02 0.00 0.01 0.64 2016-04-15 16:24:48 135
0.02 0.00 0.01 0.64 2016-04-15 16:24:48 140
0.02 0.00 0.01 0.64 2016-04-15 16:24:48 145
0.02 0.00 0.01 0.64 2016-04-15 16:24:48 150
0.02 0.00 0.01 0.64 2016-04-15 16:24:48 155
0.02 0.00 0.01 0.64 2016-04-15 16:24:48 160
0.02 0.00 0.01 0.64 2016-04-15 16:24:48 165
0.02 0.00 0.01 0.64 2016-04-15 16:24:48 170
0.02 0.00 0.01 0.64 2016-04-15 16:24:48 175
0.02 0.00 0.01 0.64 2016-04-15 16:24:48 180
0.02 0.00 0.01 0.64 2016-04-15 16:24:48 185
0.02 0.00 0.01 0.64 2016-04-15 16:24:48 190
0.02 0.00 0.01 0.64 2016-04-15 16:24:48 195
0.02 0.00 0.01 0.64 2016-04-15 16:24:48 200
0.02 0.00 0.01 0.64 2016-04-15 16:24:48 205
0.02 0.00 0.01 0.64 2016-04-15 16:24:48 210
0.02 0.00 0.01 0.64 2016-04-15 16:24:48 215
0.02 0.00 0.01 0.64 2016-04-15 16:24:48 220
0.02 0.00 0.01 0.64 2016-04-15 16:24:48 225
0.02 0.00 0.01 0.64 2016-04-15 16:24:48 230
0.02 0.00 0.01 0.64 2016-04-15 16:24:48 235
0.02 0.00 0.01 0.64 2016-04-15 16:24:48 240
0.02 0.00 0.01 0.64 2016-04-15 16:24:48 245
0.02 0.00 0.01 0.64 2016-04-15 16:24:48 250
0.02 0.00 0.01 0.64 2016-04-15 16:24:48 255
0.02 0.00 0.01 0.64 2016-04-15 16:24:48 260
