#Mem_used Mem_free Mem_buffers Mem_cached Swap_used Swap_free Date Time Elapsed_time
290204 735808 81024 75256 0 1046524 2016-04-15 16:24:47 0
290436 735576 81032 75272 0 1046524 2016-04-15 16:24:52 5
290412 735600 81040 75280 0 1046524 2016-04-15 16:24:57 10
290412 735600 81048 75292 0 1046524 2016-04-15 16:25:02 15
290188 735824 81056 75312 0 1046524 2016-04-15 16:25:08 20
290296 735716 81064 75320 0 1046524 2016-04-15 16:25:13 25
290352 735660 81072 75332 0 1046524 2016-04-15 16:25:18 30
290436 735576 81080 75340 0 1046524 2016-04-15 16:25:23 35
317988 708024 81088 101888 0 1046524 2016-04-15 16:25:28 40
365780 660232 81096 149636 0 1046524 2016-04-15 16:25:33 45
415576 610436 81104 199104 0 1046524 2016-04-15 16:25:38 50
464276 561736 81112 247296 0 1046524 2016-04-15 16:25:44 55
511948 514064 81120 294708 0 1046524 2016-04-15 16:25:49 60
559308 466704 81128 341660 0 1046524 2016-04-15 16:25:54 65
590020 435992 81136 371988 0 1046524 2016-04-15 16:25:59 70
602232 423780 81144 384104 0 1046524 2016-04-15 16:26:04 75
639644 386368 81152 420908 0 1046524 2016-04-15 16:26:10 80
688372 337640 81164 468832 0 1046524 2016-04-15 16:26:15 85
732804 293208 81172 513312 0 1046524 2016-04-15 16:26:20 90
780896 245116 81180 561040 0 1046524 2016-04-15 16:26:25 95
827944 198068 81188 607824 0 1046524 2016-04-15 16:26:30 100
872852 153160 81196 652436 0 1046524 2016-04-15 16:26:35 105
916784 109228 81204 695820 0 1046524 2016-04-15 16:26:41 110
941344 84668 81176 720292 0 1046524 2016-04-15 16:26:46 115
943672 82340 79064 724740 0 1046524 2016-04-15 16:26:51 120
940556 85456 76428 723984 0 1046524 2016-04-15 16:26:56 125
942536 83476 74204 728268 0 1046524 2016-04-15 16:27:01 130
942360 83652 71840 730616 0 1046524 2016-04-15 16:27:07 135
941840 84172 69988 732124 0 1046524 2016-04-15 16:27:12 140
941768 84244 68808 732732 0 1046524 2016-04-15 16:27:17 145
938808 87204 68108 730212 0 1046524 2016-04-15 16:27:22 150
939176 86836 67628 731388 0 1046524 2016-04-15 16:27:27 155
941308 84704 66344 734948 0 1046524 2016-04-15 16:27:33 160
939740 86272 65632 734640 0 1046524 2016-04-15 16:27:38 165
943420 82592 65384 738416 0 1046524 2016-04-15 16:27:43 170
942320 83692 64884 738216 0 1046524 2016-04-15 16:27:48 175
942512 83500 64448 738668 0 1046524 2016-04-15 16:27:53 180
939168 86844 63868 735848 0 1046524 2016-04-15 16:27:59 185
941736 84276 63572 738596 4 1046520 2016-04-15 16:28:04 190
940244 85768 62476 738080 4 1046520 2016-04-15 16:28:09 195
940116 85896 61780 740724 4 1046520 2016-04-15 16:28:14 200
938836 87176 61776 739612 4 1046520 2016-04-15 16:28:19 205
943548 82464 61784 744984 4 1046520 2016-04-15 16:28:25 210
942804 83208 61792 745300 4 1046520 2016-04-15 16:28:30 215
941160 84852 61796 744672 4 1046520 2016-04-15 16:28:35 220
940928 85084 61700 745584 4 1046520 2016-04-15 16:28:40 225
940812 85200 61368 747292 4 1046520 2016-04-15 16:28:45 230
941604 84408 61156 750296 4 1046520 2016-04-15 16:28:51 235
940536 85476 61100 750468 4 1046520 2016-04-15 16:28:56 240
939676 86336 61108 750920 4 1046520 2016-04-15 16:29:01 245
942608 83404 61028 754448 4 1046520 2016-04-15 16:29:06 250
939036 86976 60876 751188 8 1046516 2016-04-15 16:29:11 255
943292 82720 60736 756464 8 1046516 2016-04-15 16:29:17 260
941596 84416 60632 756088 8 1046516 2016-04-15 16:29:22 265
943196 82816 60572 759476 8 1046516 2016-04-15 16:29:27 270
940780 85232 60444 757684 8 1046516 2016-04-15 16:29:32 275
941076 84936 60376 756972 8 1046516 2016-04-15 16:29:37 280
942080 83932 60328 757760 8 1046516 2016-04-15 16:29:43 285
948760 77252 60228 763868 12 1046512 2016-04-15 16:29:48 290
939552 86460 60032 756320 12 1046512 2016-04-15 16:29:53 295
939868 86144 59940 756808 12 1046512 2016-04-15 16:29:58 300
943700 82312 59880 759268 12 1046512 2016-04-15 16:30:03 305
937180 88832 59720 752312 12 1046512 2016-04-15 16:30:09 310
943448 82564 59672 757352 12 1046512 2016-04-15 16:30:14 315
941068 84944 59412 756700 12 1046512 2016-04-15 16:30:19 320
947344 78668 59352 760608 12 1046512 2016-04-15 16:30:24 325
945372 80640 59252 757048 12 1046512 2016-04-15 16:30:29 330
941572 84440 59056 753780 12 1046512 2016-04-15 16:30:35 335
939756 86256 58932 751208 12 1046512 2016-04-15 16:30:40 340
939328 86684 58848 750088 12 1046512 2016-04-15 16:30:45 345
941732 84280 58772 751916 12 1046512 2016-04-15 16:30:50 350
941252 84760 58560 751480 12 1046512 2016-04-15 16:30:55 355
938648 87364 58348 750324 12 1046512 2016-04-15 16:31:01 360
939168 86844 58356 750344 12 1046512 2016-04-15 16:31:06 365
939292 86720 58364 750352 12 1046512 2016-04-15 16:31:11 370
938896 87116 58372 750360 12 1046512 2016-04-15 16:31:16 375
938620 87392 58380 750488 12 1046512 2016-04-15 16:31:21 380
938996 87016 58388 750496 12 1046512 2016-04-15 16:31:26 385
939080 86932 58396 750504 12 1046512 2016-04-15 16:31:31 390
939180 86832 58404 750516 12 1046512 2016-04-15 16:31:36 395
939728 86284 58412 750768 12 1046512 2016-04-15 16:31:42 400
939440 86572 58420 750776 12 1046512 2016-04-15 16:31:47 405
939648 86364 58428 750784 12 1046512 2016-04-15 16:31:52 410
939448 86564 58436 750796 12 1046512 2016-04-15 16:31:57 415
936404 89608 58356 747808 12 1046512 2016-04-15 16:32:02 420
936364 89648 58364 747816 12 1046512 2016-04-15 16:32:07 425
936752 89260 58372 747824 12 1046512 2016-04-15 16:32:12 430
936844 89168 58380 747836 12 1046512 2016-04-15 16:32:17 435
936984 89028 58388 747956 12 1046512 2016-04-15 16:32:23 440
936656 89356 58396 747968 12 1046512 2016-04-15 16:32:28 445
936892 89120 58404 747976 12 1046512 2016-04-15 16:32:33 450
936828 89184 58412 747988 12 1046512 2016-04-15 16:32:38 455
