#TX __: _____ kB/s RX __: _____ kB/s data hora intervalo
TX eth0: 0 kB/s RX eth0: 0 kB/s 2016-04-15 11:49:09 0
TX eth0: 1 kB/s RX eth0: 1 kB/s 2016-04-15 11:49:20 5
TX eth0: 2 kB/s RX eth0: 3 kB/s 2016-04-15 11:49:30 10
TX eth0: 0 kB/s RX eth0: 1 kB/s 2016-04-15 11:49:40 15
TX eth0: 0 kB/s RX eth0: 0 kB/s 2016-04-15 11:49:50 20
TX eth0: 0 kB/s RX eth0: 1 kB/s 2016-04-15 11:50:00 25
TX eth0: 0 kB/s RX eth0: 0 kB/s 2016-04-15 11:50:10 30
TX eth0: 2 kB/s RX eth0: 1 kB/s 2016-04-15 11:50:20 35
TX eth0: 509 kB/s RX eth0: 134 kB/s 2016-04-15 11:50:30 40
TX eth0: 8 kB/s RX eth0: 4 kB/s 2016-04-15 11:50:40 45
TX eth0: 17 kB/s RX eth0: 9 kB/s 2016-04-15 11:50:50 50
TX eth0: 11 kB/s RX eth0: 6 kB/s 2016-04-15 11:51:01 55
TX eth0: 9 kB/s RX eth0: 5 kB/s 2016-04-15 11:51:11 60
TX eth0: 199 kB/s RX eth0: 64 kB/s 2016-04-15 11:51:21 65
TX eth0: 531 kB/s RX eth0: 148 kB/s 2016-04-15 11:51:31 70
TX eth0: 554 kB/s RX eth0: 148 kB/s 2016-04-15 11:51:41 75
TX eth0: 500 kB/s RX eth0: 143 kB/s 2016-04-15 11:51:51 80
TX eth0: 207 kB/s RX eth0: 61 kB/s 2016-04-15 11:52:01 85
TX eth0: 378 kB/s RX eth0: 134 kB/s 2016-04-15 11:52:11 90
TX eth0: 31 kB/s RX eth0: 12 kB/s 2016-04-15 11:52:22 95
TX eth0: 0 kB/s RX eth0: 1 kB/s 2016-04-15 11:52:32 100
TX eth0: 35 kB/s RX eth0: 12 kB/s 2016-04-15 11:52:42 105
TX eth0: 267 kB/s RX eth0: 85 kB/s 2016-04-15 11:52:52 110
TX eth0: 277 kB/s RX eth0: 93 kB/s 2016-04-15 11:53:02 115
TX eth0: 508 kB/s RX eth0: 139 kB/s 2016-04-15 11:53:12 120
TX eth0: 463 kB/s RX eth0: 120 kB/s 2016-04-15 11:53:22 125
TX eth0: 526 kB/s RX eth0: 147 kB/s 2016-04-15 11:53:33 130
TX eth0: 829 kB/s RX eth0: 213 kB/s 2016-04-15 11:53:43 135
TX eth0: 622 kB/s RX eth0: 167 kB/s 2016-04-15 11:53:53 140
TX eth0: 749 kB/s RX eth0: 163 kB/s 2016-04-15 11:54:03 145
TX eth0: 0 kB/s RX eth0: 0 kB/s 2016-04-15 11:54:13 150
TX eth0: 0 kB/s RX eth0: 0 kB/s 2016-04-15 11:54:23 155
TX eth0: 0 kB/s RX eth0: 0 kB/s 2016-04-15 11:54:33 160
TX eth0: 2 kB/s RX eth0: 1 kB/s 2016-04-15 11:54:43 165
TX eth0: 0 kB/s RX eth0: 0 kB/s 2016-04-15 11:54:53 170
TX eth0: 0 kB/s RX eth0: 0 kB/s 2016-04-15 11:55:03 175
TX eth0: 0 kB/s RX eth0: 0 kB/s 2016-04-15 11:55:13 180
TX eth0: 0 kB/s RX eth0: 0 kB/s 2016-04-15 11:55:23 185
TX eth0: 0 kB/s RX eth0: 0 kB/s 2016-04-15 11:55:34 190
TX eth0: 0 kB/s RX eth0: 0 kB/s 2016-04-15 11:55:44 195
TX eth0: 0 kB/s RX eth0: 0 kB/s 2016-04-15 11:55:54 200
TX eth0: 0 kB/s RX eth0: 0 kB/s 2016-04-15 11:56:04 205
TX eth0: 0 kB/s RX eth0: 0 kB/s 2016-04-15 11:56:14 210
TX eth0: 0 kB/s RX eth0: 0 kB/s 2016-04-15 11:56:24 215
TX eth0: 0 kB/s RX eth0: 0 kB/s 2016-04-15 11:56:34 220
TX eth0: 2 kB/s RX eth0: 3 kB/s 2016-04-15 11:56:44 225
TX eth0: 0 kB/s RX eth0: 0 kB/s 2016-04-15 11:56:54 230
TX eth0: 3 kB/s RX eth0: 3 kB/s 2016-04-15 11:57:04 235
TX eth0: 1 kB/s RX eth0: 2 kB/s 2016-04-15 11:57:14 240
TX eth0: 5 kB/s RX eth0: 5 kB/s 2016-04-15 11:57:24 245
TX eth0: 3 kB/s RX eth0: 3 kB/s 2016-04-15 11:57:34 250
TX eth0: 0 kB/s RX eth0: 0 kB/s 2016-04-15 11:57:44 255
TX eth0: 1 kB/s RX eth0: 1 kB/s 2016-04-15 11:57:54 260
TX eth0: 0 kB/s RX eth0: 1 kB/s 2016-04-15 11:58:04 265
TX eth0: 0 kB/s RX eth0: 0 kB/s 2016-04-15 11:58:14 270
TX eth0: 5 kB/s RX eth0: 4 kB/s 2016-04-15 11:58:24 275
TX eth0: 1 kB/s RX eth0: 2 kB/s 2016-04-15 11:58:34 280
TX eth0: 2 kB/s RX eth0: 1 kB/s 2016-04-15 11:58:44 285
TX eth0: 0 kB/s RX eth0: 0 kB/s 2016-04-15 11:58:55 290
TX eth0: 2 kB/s RX eth0: 3 kB/s 2016-04-15 11:59:05 295
