read(MB/s) write(MB/s) Queue_Length Utilization date time elapsed_time
0.15 0.11 0.05 42.95 2016-04-15 11:49:04 0
0.15 0.11 0.05 42.95 2016-04-15 11:49:04 5
0.15 0.11 0.05 42.95 2016-04-15 11:49:04 10
0.15 0.11 0.05 42.95 2016-04-15 11:49:05 15
0.15 0.11 0.05 42.95 2016-04-15 11:49:05 20
0.15 0.11 0.05 42.95 2016-04-15 11:49:05 25
0.15 0.11 0.05 42.95 2016-04-15 11:49:05 30
0.15 0.11 0.05 42.95 2016-04-15 11:49:05 35
0.15 0.11 0.05 42.95 2016-04-15 11:49:05 40
0.15 0.11 0.05 42.95 2016-04-15 11:49:05 45
0.15 0.11 0.05 42.95 2016-04-15 11:49:05 50
0.15 0.11 0.05 42.95 2016-04-15 11:49:05 55
0.15 0.11 0.05 42.95 2016-04-15 11:49:05 60
0.15 0.11 0.05 42.95 2016-04-15 11:49:05 65
0.15 0.11 0.05 42.95 2016-04-15 11:49:05 70
0.15 0.11 0.05 42.95 2016-04-15 11:49:05 75
0.15 0.11 0.05 42.95 2016-04-15 11:49:05 80
0.15 0.11 0.05 42.95 2016-04-15 11:49:05 85
0.15 0.11 0.05 42.95 2016-04-15 11:49:05 90
0.15 0.11 0.05 42.95 2016-04-15 11:49:05 95
0.15 0.11 0.05 42.95 2016-04-15 11:49:05 100
0.15 0.11 0.05 42.95 2016-04-15 11:49:05 105
0.15 0.11 0.05 42.95 2016-04-15 11:49:05 110
0.15 0.11 0.05 42.95 2016-04-15 11:49:05 115
0.15 0.11 0.05 42.95 2016-04-15 11:49:05 120
0.15 0.11 0.05 42.95 2016-04-15 11:49:05 125
0.15 0.11 0.05 42.95 2016-04-15 11:49:05 130
0.15 0.11 0.05 42.95 2016-04-15 11:49:05 135
0.15 0.11 0.05 42.95 2016-04-15 11:49:05 140
0.15 0.11 0.05 42.95 2016-04-15 11:49:05 145
0.15 0.11 0.05 42.95 2016-04-15 11:49:05 150
0.15 0.11 0.05 42.95 2016-04-15 11:49:05 155
0.15 0.11 0.05 42.95 2016-04-15 11:49:05 160
0.15 0.11 0.05 42.95 2016-04-15 11:49:05 165
0.15 0.11 0.05 42.95 2016-04-15 11:49:05 170
0.15 0.11 0.05 42.95 2016-04-15 11:49:05 175
0.15 0.11 0.05 42.95 2016-04-15 11:49:05 180
0.15 0.11 0.05 42.95 2016-04-15 11:49:05 185
0.15 0.11 0.05 42.95 2016-04-15 11:49:05 190
0.15 0.11 0.05 42.95 2016-04-15 11:49:05 195
0.15 0.11 0.05 42.95 2016-04-15 11:49:05 200
0.15 0.11 0.05 42.95 2016-04-15 11:49:05 205
0.15 0.11 0.05 42.95 2016-04-15 11:49:05 210
0.15 0.11 0.05 42.95 2016-04-15 11:49:05 215
0.15 0.11 0.05 42.95 2016-04-15 11:49:05 220
0.15 0.11 0.05 42.95 2016-04-15 11:49:05 225
0.15 0.11 0.05 42.95 2016-04-15 11:49:05 230
0.15 0.11 0.05 42.95 2016-04-15 11:49:05 235
0.15 0.11 0.05 42.95 2016-04-15 11:49:05 240
0.15 0.11 0.05 42.95 2016-04-15 11:49:05 245
0.15 0.11 0.05 42.95 2016-04-15 11:49:05 250
0.15 0.11 0.05 42.95 2016-04-15 11:49:05 255
0.15 0.11 0.05 42.95 2016-04-15 11:49:05 260
0.15 0.11 0.05 42.95 2016-04-15 11:49:05 265
0.15 0.11 0.05 42.95 2016-04-15 11:49:05 270
0.15 0.11 0.05 42.95 2016-04-15 11:49:05 275
0.15 0.11 0.05 42.95 2016-04-15 11:49:05 280
0.15 0.11 0.05 42.95 2016-04-15 11:49:05 285
0.15 0.11 0.05 42.95 2016-04-15 11:49:05 290
0.15 0.11 0.05 42.95 2016-04-15 11:49:05 295
0.15 0.11 0.05 42.95 2016-04-15 11:49:05 300
0.15 0.11 0.05 42.95 2016-04-15 11:49:05 305
0.15 0.11 0.05 42.95 2016-04-15 11:49:05 310
0.15 0.11 0.05 42.95 2016-04-15 11:49:05 315
0.15 0.11 0.05 42.95 2016-04-15 11:49:05 320
